#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18D20
#Date Time: 2020-09-17 16:15:27.334
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1.1 V/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 / 100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: RampUp
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 2 (V),Math 1 (A)
-0.001682,2.857769239762516,0.002879000561913502
-0.00168075,2.865092608179309,0.002888955118836055
-0.0016795,2.88340102922126,0.002902227861399448
-0.00167825,2.890724397638044,0.002912182418321996
-0.001677,2.909032818680004,0.002922136975244544
-0.00167575,2.92001787130518,0.002935409717807942
-0.0016745,2.92734123972196,0.002945364274730486
-0.00167325,2.934664608138748,0.002955318831653039
-0.001671999999999999,2.94931134497232,0.00296859157421644
-0.00167075,2.960296397597491,0.002978546131138984
-0.0016695,2.967619766014282,0.002991818873702389
-0.00166825,2.982266502847843,0.00300840980190663
-0.001667,3.000574923889803,0.003018364358829178
-0.00166575,3.007898292306586,0.003025000730110876
-0.0016645,3.01522166072337,0.003034955287033425
-0.00166325,3.026206713348541,0.00304159165831512
-0.001662,3.03353008176533,0.003054864400878521
-0.001660749999999999,3.044515134390513,0.003068137143441925
-0.0016595,3.059161871224074,0.003081409886005316
-0.00165825,3.073808608057645,0.003094682628568719
-0.001657,3.081131976474425,0.003104637185491262
-0.00165575,3.095778713307993,0.003117909928054661
-0.0016545,3.110425450141561,0.003127864484977209
-0.00165325,3.121410502766737,0.003137819041899756
-0.001652,3.128733871183518,0.003151091784463148
-0.00165075,3.139718923808696,0.003161046341385703
-0.001649499999999999,3.154365660642269,0.003171000898308256
-0.00164825,3.16535071326744,0.003180955455230799
-0.001647,3.176335765892616,0.003194228197794198
-0.00164575,3.1836591343094,0.003207500940357595
-0.0016445,3.194644186934576,0.003220773682920993
-0.00164325,3.209290923768137,0.003230728239843537
-0.001642,3.216614292184928,0.003240682796766089
-0.00164075,3.227599344810098,0.003250637353688634
-0.0016395,3.234922713226887,0.003267228281892885
-0.00163825,3.24590776585207,0.003277182838815438
-0.001637,3.260554502685631,0.003287137395737981
-0.00163575,3.271539555310807,0.003297091952660529
-0.0016345,3.289847976352767,0.003303728323942229
-0.00163325,3.304494713186334,0.003320319252146475
-0.001632,3.315479765811505,0.003333591994709867
-0.00163075,3.322803134228294,0.00335018292291412
-0.001629499999999999,3.337449871061869,0.003356819294195823
-0.00162825,3.35209660789543,0.003363455665477518
-0.001627,3.35941997631222,0.00337341022240007
-0.00162575,3.374066713145782,0.003383364779322615
-0.0016245,3.377728397354173,0.003399955707526861
-0.00162325,3.392375134187741,0.003409910264449411
-0.001622,3.407021871021309,0.003416546635731109
-0.00162075,3.41800692364648,0.0034298193782945
-0.0016195,3.421668607854877,0.003443092120857904
-0.001618249999999999,3.436315344688448,0.003453046677780458
-0.001617,3.443638713105229,0.003466319420343851
-0.00161575,3.458285449938799,0.003472955791625555
-0.0016145,3.46560881835558,0.003486228534188947
-0.00161325,3.480255555189148,0.003499501276752345
-0.001612,3.494902292022716,0.003512774019315743
-0.00161075,3.505887344647892,0.00352604676187914
-0.0016095,3.520534081481453,0.003529364947519988
-0.00160825,3.531519134106635,0.003549274061365086
-0.001606999999999999,3.538842502523424,0.003559228618287637
-0.00160575,3.549827555148595,0.003565864989569334
-0.0016045,3.560812607773771,0.003579137732132731
-0.00160325,3.575459344607339,0.003589092289055279
-0.001602,3.582782713024122,0.003595728660336979
-0.00160075,3.597429449857684,0.00360900140290037
-0.0015995,3.604752818274474,0.003622274145463774
-0.00159825,3.615737870899645,0.003632228702386318
-0.001597,3.630384607733218,0.00364550144494972
-0.00159575,3.63770797615001,0.003655456001872274
-0.0015945,3.656016397191962,0.003668728744435665
-0.00159325,3.667001449817137,0.003678683301358214
-0.001592,3.674324818233921,0.003691956043921611
-0.00159075,3.685309870859097,0.003701910600844161
-0.0015895,3.699956607692658,0.003711865157766704
-0.00158825,3.710941660317841,0.003725137900330107
-0.001587,3.718265028734622,0.00373509245725265
-0.00158575,3.732911765568192,0.003748365199816052
-0.0015845,3.747558502401765,0.003761637942379454
-0.00158325,3.758543555026936,0.003771592499301998
-0.001582,3.769528607652112,0.003784865241865396
-0.00158075,3.780513660277288,0.003794819798787944
-0.0015795,3.791498712902464,0.003804774355710493
-0.00157825,3.798822081319244,0.003814728912633036
-0.001577,3.813468818152816,0.003828001655196438
-0.001575749999999999,3.824453870777996,0.003841274397759839
-0.0015745,3.835438923403167,0.003847910769041535
-0.00157325,3.846423976028348,0.003861183511604937
-0.001572,3.857409028653519,0.003871138068527481
-0.00157075,3.868394081278695,0.003881092625450029
-0.0015695,3.875717449695478,0.003894365368013427
-0.00156825,3.89768755494583,0.003904319924935975
-0.001567,3.905010923362611,0.00391427448185852
-0.00156575,3.91599597598779,0.003927547224421921
-0.001564499999999999,3.923319344404579,0.003937501781344476
-0.00156325,3.93430439702975,0.003950774523907867
-0.001562,3.941627765446542,0.00396404726647127
-0.00156075,3.959936186488493,0.003974001823393814
-0.0015595,3.974582923322061,0.003987274565957211
-0.00155825,3.978244607530451,0.003997229122879756
-0.001557,3.989229660155629,0.004003865494161458
-0.00155575,4.00753808119758,0.004017138236724851
-0.0015545,4.011199765405981,0.004027092793647404
-0.00155325,4.022184818031167,0.00403704735056996
-0.001552,4.044154923281508,0.0040536382787742
-0.00155075,4.055139975906684,0.004060274650055898
-0.0015495,4.062463344323468,0.004073547392619297
-0.00154825,4.073448396948644,0.004086820135182694
-0.001547,4.091756817990595,0.00409345650646439
-0.00154575,4.099080186407387,0.004103411063386941
-0.0015445,4.113726923240948,0.00412000199159118
-0.00154325,4.121050291657739,0.004129956548513737
-0.001542,4.128373660074528,0.00413991110543629
-0.00154075,4.139358712699699,0.004153183847999683
-0.0015395,4.150343765324875,0.004156502033640532
-0.00153825,4.164990502158442,0.004176411147485629
-0.001537,4.175975554783618,0.004186365704408177
-0.00153575,4.183298923200399,0.004196320261330721
-0.0015345,4.194283975825578,0.004206274818253274
-0.001533249999999999,4.208930712659152,0.004219547560816674
-0.001532,4.223577449492714,0.00422618393209837
-0.00153075,4.227239133701111,0.004242774860302621
-0.0015295,4.241885870534674,0.004252729417225165
-0.00152825,4.260194291576633,0.004266002159788563
-0.001527,4.267517659993417,0.00427927490235196
-0.00152575,4.274841028410201,0.004289229459274509
-0.0015245,4.296811133660543,0.0043025022018379
-0.00152325,4.296811133660553,0.004312456758760456
